Gemeindekennziffer_lang;Gemeindekennziffer_kurz;Bundesland_Code;Kreis_Code;Gemeinde_Name
130761165;0761165;13;076;Pritzier
130761175;0761175;13;076;Raben Steinfeld
130761185;0761185;13;076;Rastow
130761195;0761195;13;076;Redefin
130761205;0761205;13;076;Rom
130761215;0761215;13;076;Schossin
130761225;0761225;13;076;Schwanheide
130761255;0761255;13;076;Siggelkow
130761265;0761265;13;076;Spornitz
130761285;0761285;13;076;Sternberg, Stadt
130761295;0761295;13;076;Stolpe
130761305;0761305;13;076;Stralendorf
130761315;0761315;13;076;Strohkirchen
130761335;0761335;13;076;Sukow
130761345;0761345;13;076;Sülstorf
130761355;0761355;13;076;Techentin
130761365;0761365;13;076;Teldau
130761385;0761385;13;076;Tessin b. Boizenburg
130761405;0761405;13;076;Tramm
130761415;0761415;13;076;Uelitz
130761425;0761425;13;076;Vellahn
130761435;0761435;13;076;Vielank
130761455;0761455;13;076;Warlitz
130761465;0761465;13;076;Warlow
130761475;0761475;13;076;Warsow
130761485;0761485;13;076;Weitendorf
130761515;0761515;13;076;Werder
130761525;0761525;13;076;Wittenburg, Stadt
130761535;0761535;13;076;Wittendörp
130761545;0761545;13;076;Wittenförden
130761555;0761555;13;076;Witzin
130761565;0761565;13;076;Wöbbelin
130761585;0761585;13;076;Zapel
130761595;0761595;13;076;Zarrentin am Schaalsee, Stadt
130761605;0761605;13;076;Ziegendorf
130761615;0761615;13;076;Zierzow
130761625;0761625;13;076;Zölkow
130761635;0761635;13;076;Zülow
130761645;0761645;13;076;Obere Warnow
130761655;0761655;13;076;Gehlsbach
130761665;0761665;13;076;Ganzlin
130761675;0761675;13;076;Kloster Tempzin
130761685;0761685;13;076;Ruhner Berge
130761695;0761695;13;076;Toddin
145110000;5110000;14;511;Chemnitz, Stadt
145210100;5210100;14;521;Amtsberg
145210200;5210200;14;521;Annaberg-Buchholz, Stadt
145210350;5210350;14;521;Aue-Bad Schlema, Stadt
145210405;5210405;14;521;Auerbach
145210605;5210605;14;521;Bärenstein
145210805;5210805;14;521;Bockau
145210905;5210905;14;521;Börnichen/Erzgeb.
145211100;5211100;14;521;Breitenbrunn/Erzgeb., Hochschulort
145211205;5211205;14;521;Burkhardtsdorf
145211300;5211300;14;521;Crottendorf
145211405;5211405;14;521;Deutschneudorf
145211500;5211500;14;521;Drebach
145211600;5211600;14;521;Ehrenfriedersdorf, Stadt
145211700;5211700;14;521;Eibenstock, Stadt
145211805;5211805;14;521;Elterlein, Stadt
145212000;5212000;14;521;Gelenau/Erzgeb.
145212105;5212105;14;521;Geyer, Stadt
145212205;5212205;14;521;Gornau/Erzgeb.
145212305;5212305;14;521;Gornsdorf
145212400;5212400;14;521;Großolbersdorf
145212500;5212500;14;521;Großrückerswalde
145212600;5212600;14;521;Grünhain-Beierfeld, Stadt
145212705;5212705;14;521;Grünhainichen
145212805;5212805;14;521;Heidersdorf
145212900;5212900;14;521;Hohndorf
145213100;5213100;14;521;Jahnsdorf/Erzgeb.
145213200;5213200;14;521;Johanngeorgenstadt, Stadt
145213300;5213300;14;521;Jöhstadt, Stadt
145213405;5213405;14;521;Königswalde
145213550;5213550;14;521;Lauter-Bernsbach, Stadt
145213700;5213700;14;521;Lößnitz, Stadt
145213805;5213805;14;521;Lugau/Erzgeb., Stadt
145213900;5213900;14;521;Marienberg, Stadt
145214000;5214000;14;521;Mildenau
145214100;5214100;14;521;Neukirchen/Erzgeb.
145214205;5214205;14;521;Niederdorf
145214305;5214305;14;521;Niederwürschnitz
145214400;5214400;14;521;Oberwiesenthal, Kurort, Stadt
