"gemeinde_kennziffer";"l_untergrenze";"exponierte";"l_zentral";"metrik";"quelle";"kartierungsumfang";"datenquelle";"bundesland_kreis_code";"Bundesland_Code";"Kreis_Code";"Kreis_Name"
"06431018";"55";"136";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431018";"60";"127";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431018";"65";"108";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431018";"70";"155";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431018";"75";"35";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431018";"50";"134";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431018";"55";"110";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431018";"60";"160";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431018";"65";"36";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431018";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431019";"55";"294";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431019";"60";"195";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431019";"65";"223";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
